Gene	z-score (Schneider et al. [Huh7.5])	z-score (Wei et al. [Vero E6])	Rank
BPGM	0.546971157	0.80293523	0.674953194
NCKAP1	0.412816294	0.933510848	0.673163571
PNMA2	0.607141254	0.739124275	0.673132764
SELP	0.750305161	0.595685903	0.672995532
CDK16	0.693135671	0.652581865	0.672858768
MOV10	0.682367033	0.662960821	0.672663927
SNAP25	0.909231708	0.435838554	0.672535131
CHFR	0.730636669	0.614417384	0.672527027
CBL	0.686905017	0.657913958	0.672409487
TMEM257	1.03912954	0.305250574	0.672190057
CCHCR1	0.454655752	0.888759198	0.671707475
SLC5A11	0.381292025	0.960460154	0.67087609
ZHX2	0.862952837	0.478271335	0.670612086
DCAF7	0.637027254	0.703783558	0.670405406
CHIC1	0.803210423	0.536957485	0.670083954
MIIP	1.008945309	0.331214066	0.670079687
ERICH6B	0.425156585	0.913528759	0.669342672
BCHE	0.70446418	0.634014237	0.669239208
OFD1	0.709448469	0.628760925	0.669104697
MIEF1	0.70869179	0.627274778	0.667983284
ASPA	0.768838992	0.565845109	0.66734205
SYCN	0.406311875	0.927510744	0.666911309
RTP4	0.812094085	0.521568046	0.666831066
TFF3	0.920387179	0.412850788	0.666618983
POMC	0.924112751	0.409025376	0.666569063
DACH2	0.626066931	0.706265834	0.666166383
CRYBG3	0.380351007	0.951831562	0.666091284
ANXA2R	0.99832248	0.333638378	0.665980429
EFCAB9	0.461649356	0.867022002	0.664335679
ANKIB1	0.53951109	0.788344571	0.66392783
ZC2HC1C	0.530773853	0.796840559	0.663807206
KIF3A	0.730373352	0.595618008	0.66299568
COL4A6	0.464647445	0.861027206	0.662837326
ATP4B	0.844524793	0.480923917	0.662724355
STON2	0.62928162	0.695608567	0.662445093
MACC1	0.995859856	0.328835156	0.662347506
ZMYM1	0.906648683	0.417867836	0.66225826
TRIM6	0.725095929	0.599349519	0.662222724
TMEM219	0.978341418	0.345904202	0.66212281
KNDC1	0.31636833	1.00777192	0.662070125
MOSPD1	0.919322077	0.404225507	0.661773792
SPOP	0.759494728	0.562966083	0.661230406
NUDT3	0.823342321	0.498827366	0.661084844
MSI1	0.676941868	0.642252935	0.659597401
SLAMF7	0.529299449	0.789644341	0.659471895
TP53INP2	0.406323232	0.911365082	0.658844157
RB1CC1	0.776651734	0.539766528	0.658209131
PPP1R13B	0.462656245	0.85358871	0.658122477
PNLIPRP2	0.766140004	0.54932942	0.657734712
TTC39C	0.729840278	0.584708191	0.657274234
GPR176	0.493502115	0.820561186	0.657031651
ZNF124	0.574600582	0.739041604	0.656821093
LMBR1	0.465492295	0.847258211	0.656375253
RPP25	0.7176558	0.594241511	0.655948656
DNER	0.657400106	0.653927103	0.655663605
FOXQ1	0.545287952	0.764864058	0.655076005
MYNN	0.4579543	0.852137906	0.655046103
MBOAT1	0.903722722	0.405895815	0.654809269
FAM180A	0.970368712	0.338933362	0.654651037
NTPCR	0.345401915	0.963228081	0.654314998
RNPEPL1	0.507531491	0.800527915	0.654029703
MEI4	0.319305118	0.988564912	0.653935015
CNBD1	0.628134005	0.67900717	0.653570587
ZBED3	0.471433284	0.835180974	0.653307129
MANEA	0.816144116	0.488979892	0.652562004
SPP1	0.346661099	0.957511118	0.652086109
ATP1B1	0.934665113	0.369489797	0.652077455
ASCC2	0.794514589	0.509426815	0.651970702
KRTAP3-3	0.652560961	0.651023952	0.651792456
STAG2	0.389183555	0.914323407	0.651753481
ANKRD26	0.475230652	0.827906454	0.651568553
PVRIG	0.503768095	0.798093932	0.650931013
AFF1	0.675647734	0.624015667	0.649831701
CD83	0.496959363	0.8024224	0.649690882
KIF26A	0.682353635	0.616684991	0.649519313
VAT1L	0.584081942	0.714943479	0.649512711
SLC7A1	0.673342714	0.624940838	0.649141776
TMPRSS13	0.600971474	0.697268701	0.649120087
RERGL	0.579508259	0.717817674	0.648662967
SEMA5B	0.408224183	0.889064334	0.648644259
TRIM54	0.664140413	0.632025928	0.648083171
DHX57	0.650148474	0.644458829	0.647303652
GBE1	0.867855282	0.426412654	0.647133968
GNPTG	0.594336603	0.699840316	0.64708846
CTH	0.767053455	0.527063173	0.647058314
CSMD1	0.610905231	0.682889098	0.646897164
MNDA	0.571845063	0.72129649	0.646570777
DPEP2	0.425207159	0.867444823	0.646325991
ZNF597	0.563002613	0.729595388	0.646299
DNASE2B	0.588183627	0.704020395	0.646102011
TECPR1	0.674487233	0.616362807	0.64542502
RHAG	0.776191433	0.514099607	0.64514552
SUZ12	0.351383834	0.938678426	0.64503113
CUEDC2	0.856405046	0.433584554	0.6449948
MYCBP2	0.846557058	0.44336832	0.644962689
TBX19	0.762082949	0.527724324	0.644903636
ANKRD13C	0.971896913	0.316904684	0.644400799
ALKBH5	0.471573068	0.817057882	0.644315475
ST20	0.613098538	0.674284951	0.643691745
C8B	0.601518631	0.68575628	0.643637456
POFUT2	0.670595324	0.61617119	0.643383257
EXOC3	0.725241465	0.561159418	0.643200441
TSTD3	0.515167666	0.771005724	0.643086695
SUPT20H	0.805893271	0.479443612	0.642668441
ZNF251	0.763496435	0.521801832	0.642649134
SLC41A2	0.874582113	0.409241011	0.641911562
HBQ1	0.616059697	0.667413112	0.641736404
CRYGS	0.738477268	0.54445818	0.641467724
RAMP1	0.462714197	0.819927916	0.641321057
ADAM8	0.913065795	0.369255086	0.641160441
PPP3CA	0.884800559	0.397362846	0.641081702
LPL	0.35863365	0.922850893	0.640742272
TTC29	0.54854066	0.732840782	0.640690721
TAS2R8	0.879711645	0.401649947	0.640680796
MAP1LC3C	0.543016828	0.73763917	0.640327999
OLFM2	0.658833907	0.621293999	0.640063953
ZRANB2	0.503844762	0.775947386	0.639896074
NOXRED1	0.521347169	0.756690806	0.639018988
EFCAB1	0.62117943	0.656312707	0.638746068
ACTG2	0.853548368	0.422746388	0.638147378
HMG20B	0.741741239	0.533401446	0.637571342
FNDC4	0.490491038	0.783695339	0.637093189
NRN1	0.878182079	0.395843404	0.637012741
INSIG1	0.953868046	0.319997774	0.63693291
FRMD3	0.853543732	0.418449443	0.635996588
ODF3L1	0.698048104	0.573136719	0.635592411
ATXN1L	0.828458757	0.440715808	0.634587283
EPB41L2	0.454954561	0.813443512	0.634199037
NKX6-3	0.540999824	0.726629239	0.633814531
HESX1	0.624576355	0.642693084	0.633634719
CLN5	0.92923812	0.337906758	0.633572439
DZIP3	0.430597552	0.836396683	0.633497118
XBP1	0.838094471	0.428505522	0.633299997
FKBP15	0.919381263	0.346378567	0.632879915
KATNA1	0.371633722	0.893870951	0.632752336
TGM2	0.938228283	0.326278801	0.632253542
PPP2CB	0.472603019	0.790660415	0.631631717
ZNF425	0.702114733	0.56089338	0.631504057
IL10RA	0.543407716	0.719117378	0.631262547
ASB16	0.87092586	0.390628848	0.630777354
CDKN2AIP	0.515838555	0.745407482	0.630623018
TRDMT1	0.647752069	0.613437726	0.630594898
F5	0.811291933	0.449636606	0.630464269
KPNA5	0.666015537	0.594730497	0.630373017
SCFD2	0.822432138	0.437343214	0.629887676
NOTO	0.480439051	0.778632468	0.629535759
SBK2	0.590073863	0.66704812	0.628560991
FAM178B	0.565931396	0.690253033	0.628092214
FAM3D	0.892912548	0.361691824	0.627302186
PRR9	0.821040222	0.432759806	0.626900014
C1QTNF8	0.589729223	0.663711189	0.626720206
RMDN2	0.747801922	0.505328919	0.62656542
ACBD7	0.618594401	0.633730924	0.626162662
PRTFDC1	0.426402646	0.825631112	0.626016879
ANKDD1B	0.877554167	0.374442332	0.625998249
VSIG10	0.706863789	0.544679077	0.625771433
KDM5B	0.656355872	0.595113063	0.625734467
YIPF7	0.731911237	0.519297315	0.625604276
CD28	0.371336061	0.87953621	0.625436136
CLDN18	0.524052513	0.726232902	0.625142708
HTR3A	0.911896217	0.338242763	0.62506949
TCAIM	0.598861732	0.650085616	0.624473674
LY86	0.535647594	0.713065802	0.624356698
PRPF40B	0.407906439	0.840119701	0.62401307
PCOLCE2	0.772599994	0.475020791	0.623810393
HPGDS	0.885690838	0.361582485	0.623636662
MAGEB17	0.705592959	0.541600239	0.623596599
MYOM1	0.552243725	0.693474769	0.622859247
ARMCX5	0.781970798	0.463548383	0.622759591
ACTA1	0.669687021	0.575725113	0.622706067
HEPACAM	0.657183379	0.586942253	0.622062816
PPP1R3A	0.343707719	0.900095953	0.621901836
ZBTB8B	0.344441032	0.898715189	0.62157811
FBXO48	0.634577175	0.606975883	0.620776529
ZNF81	0.415418793	0.825974621	0.620696707
CTTNBP2	0.694730396	0.545927441	0.620328919
EPHX4	0.416493819	0.823379176	0.619936497
KCNK7	0.362654573	0.876900261	0.619777417
NECAB3	0.873487987	0.365977987	0.619732987
CLGN	0.822243631	0.417151006	0.619697318
PATE4	0.684676744	0.554501829	0.619589287
INPP5F	0.579403724	0.659647366	0.619525545
PSEN1	0.833573951	0.405395237	0.619484594
ICAM5	0.783212906	0.454751302	0.618982104
POU4F1	0.889278511	0.348578333	0.618928422
SERINC4	0.748901867	0.488694098	0.618797982
PRDX4	0.58403689	0.653314247	0.618675569
SIPA1L2	0.770179783	0.466710318	0.61844505
DCAF6	0.605647758	0.629865853	0.617756805
FAM13C	0.808791416	0.426371856	0.617581636
KRTAP1-3	0.718644009	0.516334796	0.617489403
ADGRL4	0.408332144	0.82655477	0.617443457
APCS	0.706005933	0.528475562	0.617240747
RBMXL3	0.311901208	0.921908077	0.616904642
SORBS2	0.923375983	0.309911399	0.616643691
TBXA2R	0.606794513	0.62540299	0.616098751
TSPAN3	0.54983159	0.681455926	0.615643758
PYHIN1	0.782471221	0.448683798	0.61557751
ZNF808	0.810452287	0.420686681	0.615569484
SLC35B3	0.830572526	0.399115274	0.6148439
AEN	0.833379774	0.394957569	0.614168671
LPCAT1	0.875158748	0.353171132	0.61416494
DPP6	0.780643974	0.44741432	0.614029147
RPH3AL	0.540807011	0.686574774	0.613690893
SLC25A6	0.692873809	0.533896796	0.613385302
ARHGEF12	0.743672004	0.482597235	0.61313462
PLEKHM3	0.925176612	0.300546275	0.612861444
FAM169A	0.818340557	0.405846601	0.612093579
DNAH3	0.406574564	0.817565727	0.612070145
RUNX1T1	0.370517792	0.851812589	0.611165191
EFCAB12	0.380760957	0.840773927	0.610767442
ERCC5	0.679767934	0.541684012	0.610725973
PLS1	0.374462202	0.846736635	0.610599419
TRO	0.464472356	0.756624537	0.610548447
VRK2	0.571230218	0.649528975	0.610379596
SPRYD3	0.441828377	0.777942778	0.609885577
ANKRD61	0.371516586	0.847662706	0.609589646
TBC1D32	0.454315939	0.763934994	0.609125466
NXPE3	0.854587845	0.362063871	0.608325858
SERPINA10	0.881586088	0.334845136	0.608215612
PRRG4	0.871090197	0.344997278	0.608043737
DSC3	0.530001394	0.686022722	0.608012058
GUCY2F	0.715740412	0.499736363	0.607738387
CNPY3	0.365334418	0.848908937	0.607121677
LCN10	0.629781092	0.584376296	0.607078694
EMILIN2	0.791267058	0.422744247	0.607005652
ZG16B	0.639628588	0.573769555	0.606699072
TNFRSF6B	0.665062849	0.548334257	0.606698553
GEN1	0.32915929	0.883445901	0.606302595
RAB9A	0.892649034	0.319762558	0.606205796
AURKC	0.330347068	0.881218288	0.605782678
TRPS1	0.810119569	0.401375884	0.605747726
CCNL2	0.554335011	0.656578255	0.605456633
TGFB1	0.613385947	0.597044796	0.605215371
UGGT2	0.427495829	0.78245997	0.6049779
LYPD2	0.486137006	0.723346584	0.604741795
DNAI2	0.365829052	0.843026595	0.604427823
TRMT13	0.573543125	0.635156528	0.604349827
PALMD	0.553470918	0.65495488	0.604212899
TRPV6	0.682444779	0.524255534	0.603350156
PIK3C2A	0.420147546	0.78650755	0.603327548
ZNF264	0.555757166	0.649732406	0.602744786
C5	0.70195301	0.503110717	0.602531863
FMO4	0.872002379	0.333006749	0.602504564
NKX3-1	0.897200052	0.306225046	0.601712549
IFT140	0.694872399	0.508119333	0.601495866
LPIN2	0.847652606	0.354795365	0.601223985
IGLON5	0.450726469	0.751680356	0.601203412
ACAN	0.644633201	0.557601398	0.6011173
CCDC121	0.721912383	0.480037248	0.600974816
MCIDAS	0.687094884	0.514507307	0.600801096
GATA3	0.59975672	0.601337157	0.600546938
MCTP2	0.673480248	0.527535528	0.600507888
LAMB3	0.749601114	0.451120218	0.600360666
FAM83B	0.494640003	0.705942813	0.600291408
CYTL1	0.652044029	0.546288428	0.599166229
SLC13A1	0.566978552	0.630972512	0.598975532
TRIM9	0.605959017	0.589829452	0.597894234
SERPINE3	0.747590855	0.44762831	0.597609582
TCTN3	0.406250405	0.788955735	0.59760307
BAALC	0.560878289	0.633572209	0.597225249
TTC17	0.490429893	0.703593484	0.597011689
ACAT1	0.786164573	0.407734796	0.596949684
RHOXF2	0.601464642	0.592305932	0.596885287
PIDD1	0.599178759	0.593697588	0.596438173
TJP1	0.49873684	0.693702324	0.596219582
CLASP2	0.515998558	0.676334007	0.596166283
OPTN	0.545914194	0.645513769	0.595713982
CCDC34	0.538063294	0.65299157	0.595527432
CLVS2	0.619519448	0.571480823	0.595500135
GRAMD1B	0.483320421	0.706634424	0.594977423
KRTAP12-1	0.551766966	0.637823582	0.594795274
NTN1	0.357142816	0.832017393	0.594580105
CACNG7	0.486786877	0.701195425	0.593991151
RETSAT	0.746668381	0.440721405	0.593694893
IL16	0.802290121	0.384851794	0.593570958
RERG	0.614722738	0.570982065	0.592852401
ZNF839	0.843828515	0.341479317	0.592653916
CYSLTR2	0.614994263	0.57019757	0.592595916
VAPB	0.644988856	0.5398811	0.592434978
DCN	0.631583179	0.551386207	0.591484693
EBLN1	0.865193517	0.317251878	0.591222697
TMEM196	0.523098123	0.659259026	0.591178575
UTS2B	0.460785272	0.720788344	0.590786808
KCNJ1	0.477064907	0.704146726	0.590605816
SYTL4	0.659203123	0.521416092	0.590309607
HAS1	0.361075732	0.818314988	0.58969536
ALKBH8	0.529470801	0.649802534	0.589636668
CEP83	0.379987689	0.798188357	0.589088023
SHISA3	0.449005626	0.728812061	0.588908844
DIP2C	0.802667398	0.374984871	0.588826134
CASP1	0.499568824	0.677401739	0.588485281
RFX3	0.548155568	0.628354748	0.588255158
LRRN3	0.494253311	0.68156787	0.58791059
SPINK5	0.345922184	0.829310271	0.587616227
ARHGAP11A	0.660304832	0.513721292	0.587013062
ZNF804B	0.682730451	0.490429676	0.586580064
SYNE1	0.581351065	0.591545988	0.586448526
ZNF330	0.732729425	0.439376252	0.586052838
DIRAS2	0.572731336	0.59857004	0.585650688
HSF4	0.520644635	0.64981452	0.585229577
C1QA	0.494811368	0.675372775	0.585092072
CC2D2A	0.408132985	0.761762746	0.584947865
EFHC2	0.764527002	0.40480407	0.584665536
ATP2B3	0.514903902	0.654249876	0.584576889
FAM71E1	0.64342332	0.525375731	0.584399525
TGFA	0.586108618	0.58206318	0.584085899
CASD1	0.67883985	0.488668632	0.583754241
HSD17B2	0.469311756	0.698189621	0.583750689
ZNF132	0.58862713	0.577801455	0.583214292
ZNF784	0.483450738	0.681933634	0.582692186
MYO1C	0.555188908	0.609619072	0.58240399
UBL4B	0.759927242	0.404756414	0.582341828
DDX60	0.427422076	0.734989263	0.581205669
ZBED9	0.331280976	0.831109865	0.581195421
TINAGL1	0.600427095	0.560988514	0.580707805
CENPF	0.537053256	0.624321618	0.580687437
FAT1	0.472028977	0.689159681	0.580594329
DUSP6	0.844322381	0.316718533	0.580520457
PBDC1	0.351667216	0.809083661	0.580375439
CCDC160	0.784666774	0.375655267	0.580161021
DCLK1	0.718819943	0.441414683	0.580117313
ZNF836	0.473950728	0.68623111	0.580090919
DNAJC13	0.786307835	0.373805631	0.580056733
COL18A1	0.850449977	0.309528358	0.579989168
COL26A1	0.431701587	0.727993044	0.579847315
OTOP1	0.821210946	0.337871334	0.57954114
PRIMA1	0.855438559	0.302257787	0.578848173
LRIT1	0.835856067	0.321743012	0.578799539
TMEM80	0.626961091	0.530494432	0.578727762
ANGPT2	0.803269433	0.353684836	0.578477135
TTPAL	0.35208119	0.804815251	0.57844822
FCAMR	0.571807058	0.585065312	0.578436185
HPD	0.371846302	0.78494401	0.578395156
MDH1B	0.548626178	0.606042338	0.577334258
PRKCG	0.832890594	0.321033348	0.576961971
FAIM	0.362485967	0.791315618	0.576900793
ARHGAP31	0.765755863	0.386457044	0.576106454
SLC34A3	0.40214705	0.745899432	0.574023241
ARSD	0.467227314	0.680062953	0.573645134
ANTXR2	0.574106817	0.571139492	0.572623155
ZNF311	0.387457352	0.757227109	0.57234223
MTPN	0.309736404	0.834764015	0.57225021
FAM90A1	0.794794267	0.349101875	0.571948071
RWDD2A	0.671665639	0.470878421	0.57127203
VSTM1	0.630418771	0.512027787	0.571223279
NUDT7	0.43643062	0.70552566	0.57097814
TMSB15B	0.304451818	0.837167294	0.570809556
PI15	0.56297037	0.577789451	0.570379911
DFFB	0.58999239	0.550408794	0.570200592
SIGLEC5	0.620947454	0.519423761	0.570185608
GRIK3	0.595894548	0.542935281	0.569414915
GDF7	0.831470672	0.307171051	0.569320861
HOXA10	0.355269224	0.782745886	0.569007555
C2	0.601705535	0.536080294	0.568892915
FGR	0.531873218	0.605541194	0.568707206
KISS1R	0.593933294	0.542851903	0.568392598
ITGBL1	0.564845404	0.571832185	0.568338794
HMGA2	0.416263704	0.720267963	0.568265834
BRINP2	0.668952594	0.466859204	0.567905899
NKAIN4	0.399727593	0.735486096	0.567606845
SLC16A10	0.463475097	0.671093586	0.567284342
ZNF485	0.481227923	0.653274595	0.567251259
NEIL3	0.710204402	0.423277379	0.56674089
GDF9	0.515288257	0.617198694	0.566243475
PPP2R5A	0.741055917	0.391309093	0.566182505
HSD3B7	0.618378691	0.513579644	0.565979167
SERPINB12	0.561473469	0.570326648	0.565900058
SLC25A38	0.544893656	0.586115322	0.565504489
ZAR1	0.422917906	0.708004429	0.565461167
AKAP14	0.656429875	0.474180642	0.565305258
NOL3	0.308256987	0.821789628	0.565023307
PTGR2	0.571535872	0.557907643	0.564721757
APH1A	0.622630693	0.505520735	0.564075714
FERD3L	0.650460812	0.47749433	0.563977571
SLITRK4	0.72548902	0.401969584	0.563729302
TSPAN15	0.677113387	0.449222764	0.563168076
ROPN1L	0.478552381	0.647376663	0.562964522
KIF19	0.351818925	0.773488174	0.562653549
AXIN2	0.428373721	0.696680254	0.562526987
LYPLA1	0.582250912	0.541522051	0.561886482
HBZ	0.776802055	0.346845764	0.56182391
SPDEF	0.461843579	0.661350808	0.561597193
NME4	0.303702371	0.818608165	0.561155268
RNF125	0.617104242	0.504455912	0.560780077
ELAVL4	0.79979457	0.321092239	0.560443405
TP53BP2	0.741386087	0.379276816	0.560331452
RGS8	0.479309133	0.640795228	0.56005218
ZNF667	0.340408671	0.778993052	0.559700862
LRRC75A	0.679050485	0.440232293	0.559641389
DCP1B	0.649048128	0.469966815	0.559507471
BIK	0.6310304	0.486314438	0.558672419
CFLAR	0.74552494	0.371442821	0.55848388
GNPDA2	0.62130323	0.495259855	0.558281543
CRACR2A	0.455899231	0.660456802	0.558178017
MEGF9	0.589485722	0.525965493	0.557725608
HGSNAT	0.506650797	0.608049881	0.557350339
PTH1R	0.353284669	0.760861505	0.557073087
RELL2	0.804439456	0.308345907	0.556392681
RBP2	0.660681311	0.451440073	0.556060692
SAC3D1	0.512220832	0.599897307	0.55605907
ATXN7L1	0.460957892	0.650670254	0.555814073
HBE1	0.33214656	0.779346888	0.555746724
LMNTD1	0.427389953	0.683578818	0.555484385
DCBLD1	0.408409771	0.701807641	0.555108706
ZBTB1	0.656147761	0.453364321	0.554756041
MAML2	0.562354538	0.546087509	0.554221024
WDR76	0.306942696	0.801039163	0.55399093
ILVBL	0.652360461	0.454957881	0.553659171
CFAP36	0.314457276	0.791750865	0.55310407
PTPN22	0.608412496	0.497532314	0.552972405
ACER2	0.523198615	0.582279769	0.552739192
ARHGEF11	0.739187851	0.366280624	0.552734237
LRRC36	0.420478967	0.68469015	0.552584559
ITIH4	0.382361553	0.722025349	0.552193451
PDLIM5	0.61584494	0.488118606	0.551981773
KLHL35	0.395642646	0.706795785	0.551219215
UBXN8	0.60850838	0.493276118	0.550892249
BLOC1S1	0.689414577	0.412202391	0.550808484
TMEM209	0.652769866	0.448061972	0.550415919
ZNF143	0.414002689	0.686690771	0.55034673
LEP	0.747966278	0.350207734	0.549087006
NHEJ1	0.335230472	0.761027629	0.548129051
HMX1	0.640942658	0.454241207	0.547591933
MAGI3	0.523334637	0.571504407	0.547419522
IFRD1	0.696413559	0.397832168	0.547122864
PPM1L	0.540395606	0.553667756	0.547031681
CNTF	0.336776225	0.756689206	0.546732716
CR2	0.567535535	0.525450075	0.546492805
UNC13A	0.365679523	0.727304281	0.546491902
EEF1D	0.709609202	0.3821906	0.545899901
FRY	0.671583373	0.418850964	0.545217168
ABI1	0.46898495	0.621351523	0.545168237
SERF2	0.631570981	0.458751554	0.545161268
HTR2C	0.624118096	0.466136047	0.545127072
RAPGEF5	0.485637123	0.603627033	0.544632078
PLGRKT	0.566382629	0.522504387	0.544443508
MSANTD1	0.517086112	0.571788336	0.544437224
KIFAP3	0.773686889	0.31424269	0.543964789
ME2	0.442044783	0.645096913	0.543570848
TRABD2B	0.311745591	0.775385898	0.543565744
TMEM105	0.305609273	0.781298633	0.543453953
SMARCA2	0.566243796	0.519634124	0.54293896
FXYD2	0.756194795	0.3284098	0.542302297
HTR2B	0.406666389	0.677417886	0.542042138
SH2B1	0.755535787	0.328170629	0.541853208
GPC4	0.453228233	0.629534632	0.541381432
GAB2	0.633858386	0.448761728	0.541310057
LPCAT2	0.345537484	0.736077207	0.540807345
MSGN1	0.447440068	0.634073376	0.540756722
MFAP4	0.308666548	0.772393236	0.540529892
B3GNT8	0.472529395	0.607996054	0.540262725
SSBP2	0.309153866	0.771300646	0.540227256
RGN	0.588246721	0.492142853	0.540194787
PIM2	0.329250763	0.751043908	0.540147335
TRIP10	0.307926485	0.772191392	0.540058939
LYNX1	0.388508508	0.691189538	0.539849023
ZNF75D	0.721082593	0.357442774	0.539262683
CLASP1	0.70783326	0.369969037	0.538901149
DCAF4L2	0.304380586	0.772687564	0.538534075
PLCG1	0.771676336	0.305379076	0.538527706
NID1	0.552199971	0.524408531	0.538304251
PRRC1	0.479406151	0.597172596	0.538289373
DRC7	0.560370713	0.516107762	0.538239238
ZER1	0.422390411	0.652949535	0.537669973
LAIR1	0.695634909	0.379562062	0.537598486
ADGRG3	0.754538874	0.318905795	0.536722334
ERMAP	0.482510954	0.589941677	0.536226316
PUM2	0.541142057	0.530347078	0.535744567
LHX9	0.761852767	0.309283583	0.535568175
PRTG	0.740337556	0.330775203	0.53555638
TRAF7	0.667211576	0.402846439	0.535029007
AZGP1	0.442437049	0.627113722	0.534775386
ETV3L	0.515979313	0.553325501	0.534652407
AMPD1	0.748968873	0.320204473	0.534586673
MAP6D1	0.347648941	0.720937442	0.534293191
CLIP2	0.610197782	0.458227163	0.534212473
CCDC170	0.430615649	0.6376873	0.534151475
CARD17	0.554325698	0.513935615	0.534130657
TXNDC8	0.603303608	0.464664395	0.533984002
GPBAR1	0.587879632	0.47991691	0.533898271
STARD8	0.747601823	0.319723087	0.533662455
HCN3	0.362054971	0.705074445	0.533564708
TNFRSF14	0.388146125	0.677809206	0.532977666
B3GALT5	0.560458135	0.505369905	0.53291402
SYNJ2	0.576970963	0.487840666	0.532405815
SLC6A9	0.394881649	0.66962744	0.532254544
TMCC2	0.750296502	0.313693454	0.531994978
ANTXR1	0.514080941	0.548609333	0.531345137
MYB	0.709831867	0.35278009	0.531305979
RET	0.529996249	0.532374508	0.531185378
SETDB2	0.583716032	0.476843598	0.530279815
UBXN2B	0.318654325	0.741518619	0.530086472
PLEK	0.611277564	0.448558022	0.529917793
FAM221A	0.605043815	0.454732862	0.529888339
GFI1B	0.401124332	0.657724809	0.529424571
DHCR7	0.668152954	0.390289065	0.52922101
FCRL4	0.730172219	0.327723796	0.528948007
WDFY4	0.582861906	0.4748368	0.528849353
VAX1	0.314968788	0.742574834	0.528771811
BASP1	0.516284538	0.541250934	0.528767736
DENND3	0.327017465	0.730023281	0.528520373
CREG1	0.35560612	0.701136246	0.528371183
FAM25A	0.599626111	0.456260433	0.527943272
SH3PXD2A	0.726319125	0.329448443	0.527883784
ZNF433	0.408735152	0.646285919	0.527510535
SLC1A2	0.382184446	0.671078334	0.52663139
COL1A2	0.642889257	0.409780237	0.526334747
GPR139	0.569968613	0.481285838	0.525627226
PKD2L2	0.4440511	0.606854808	0.525452954
PRAC1	0.595707844	0.453431732	0.524569788
HACD4	0.431287898	0.617694356	0.524491127
SPX	0.706604261	0.341861823	0.524233042
DIP2B	0.509115427	0.53831178	0.523713604
SRPX2	0.554466047	0.491979156	0.523222601
LRRC49	0.665684615	0.380180775	0.522932695
SPIC	0.326186394	0.718371992	0.522279193
RBFOX1	0.6262127	0.418082243	0.522147471
CFHR4	0.362053846	0.682113686	0.522083766
PRCP	0.516213023	0.527903814	0.522058418
ALDH3A2	0.705154344	0.338664048	0.521909196
GLP1R	0.551857749	0.491160636	0.521509193
HHATL	0.346233148	0.696315314	0.521274231
EPHA8	0.530222971	0.512168544	0.521195758
GINM1	0.578102411	0.464257748	0.521180079
JAK2	0.433473692	0.608869383	0.521171538
DMBT1	0.547405228	0.492513172	0.5199592
CXCR3	0.714371923	0.323983379	0.519177651
TYSND1	0.6823721	0.35530434	0.51883822
FBLN2	0.480576982	0.556353146	0.518465064
FBRS	0.653715865	0.382344571	0.518030218
DPP9-AS1	0.727699544	0.307547556	0.51762355
CRISP3	0.670218915	0.364816001	0.517517458
ZIM2	0.367842967	0.666401679	0.517122323
CACYBP	0.600603227	0.43362056	0.517111894
DCTD	0.328297889	0.705569542	0.516933716
PTPRK	0.542183724	0.489574369	0.515879047
DNAH1	0.535600523	0.495631937	0.51561623
POLQ	0.598019876	0.432932463	0.515476169
GDF15	0.501860127	0.527120055	0.514490091
KCNH5	0.679891961	0.348631324	0.514261643
CYP3A43	0.414029619	0.612996736	0.513513178
HARBI1	0.483241079	0.542867703	0.513054391
FGFR3	0.444433563	0.581568905	0.513001234
CASC3	0.631149677	0.394146444	0.512648061
ZNF483	0.677886056	0.347122244	0.51250415
CADPS	0.680147599	0.344810818	0.512479209
GLI3	0.497767933	0.525814193	0.511791063
NGEF	0.520988567	0.500671086	0.510829827
MMP14	0.533373897	0.486964111	0.510169004
ERICH1	0.652827598	0.36591665	0.509372124
OCEL1	0.358745421	0.659829255	0.509287338
MOB3B	0.327645841	0.690856629	0.509251235
NETO2	0.341609793	0.676776631	0.509193212
WWC3	0.71538024	0.30017091	0.507775575
TCF4	0.420628269	0.593858802	0.507243535
JAKMIP3	0.556488999	0.457607008	0.507048003
ECHDC2	0.600114577	0.413004721	0.506559649
TNFRSF11B	0.565461249	0.445281325	0.505371287
EGF	0.533348274	0.477008348	0.505178311
PIK3CD	0.504215901	0.505836448	0.505026175
USP51	0.477738071	0.531917562	0.504827817
EGR2	0.479187701	0.530121821	0.504654761
HEATR3	0.311435121	0.697032514	0.504233818
SERPINA11	0.391874216	0.616592521	0.504233368
LNP1	0.549714869	0.458044308	0.503879588
CRISPLD1	0.69734678	0.310373057	0.503859918
SLC25A15	0.32419242	0.68264532	0.50341887
MFSD11	0.626632359	0.379296878	0.502964619
FDXACB1	0.442521385	0.563388245	0.502954815
ROBO4	0.521788672	0.479124415	0.500456543
MYO1G	0.604916033	0.395566355	0.500241194
LVRN	0.621221888	0.378803896	0.500012892
LRRC40	0.325367246	0.67455487	0.499961058
PLAC8	0.454134628	0.545296559	0.499715593
PRND	0.421059239	0.578162135	0.499610687
ECE1	0.41701806	0.58145397	0.499236015
TMPRSS11F	0.630668814	0.367761089	0.499214952
SH2B3	0.609793917	0.388437152	0.499115534
SNAP91	0.471873631	0.526310615	0.499092123
